Date,daily_visits,Name
11/12/23,2975,Ahern.Home
11/13/23,3119,Ahern.Home
11/14/23,2885,Ahern.Home
11/15/23,3588,Ahern.Home
11/16/23,2611,Ahern.Home
11/17/23,3093,Ahern.Home
11/18/23,3057,Ahern.Home
11/19/23,3013,Ahern.Home
11/20/23,3280,Ahern.Home
11/21/23,3331,Ahern.Home
11/22/23,4104,Ahern.Home
11/23/23,4137,Ahern.Home
11/24/23,3323,Ahern.Home
11/25/23,2128,Ahern.Home
11/26/23,2735,Ahern.Home
11/27/23,3166,Ahern.Home
11/28/23,3113,Ahern.Home
11/29/23,3766,Ahern.Home
11/30/23,4248,Ahern.Home
12/1/23,3015,Ahern.Home
12/2/23,2872,Ahern.Home
12/3/23,2109,Ahern.Home
12/4/23,3324,Ahern.Home
12/5/23,2992,Ahern.Home
12/6/23,3484,Ahern.Home
12/7/23,2790,Ahern.Home
12/8/23,4155,Ahern.Home
12/9/23,2164,Ahern.Home
12/10/23,2728,Ahern.Home
12/11/23,2998,Ahern.Home
12/12/23,2722,Ahern.Home
12/13/23,3756,Ahern.Home
12/14/23,3991,Ahern.Home
12/15/23,4527,Ahern.Home
12/16/23,3971,Ahern.Home
12/17/23,3204,Ahern.Home
12/18/23,3417,Ahern.Home
12/19/23,3784,Ahern.Home
12/20/23,4124,Ahern.Home
12/21/23,6066,Ahern.Home
12/22/23,4689,Ahern.Home
12/23/23,4212,Ahern.Home
12/24/23,3657,Ahern.Home
12/25/23,4307,Ahern.Home
12/26/23,3835,Ahern.Home
12/27/23,3369,Ahern.Home
12/28/23,3814,Ahern.Home
12/29/23,2930,Ahern.Home
12/30/23,2973,Ahern.Home
12/31/23,3893,Ahern.Home
1/1/22,8880,Albany.Waterfront
1/2/22,13092,Albany.Waterfront
1/3/22,2682,Albany.Waterfront
1/4/22,2923,Albany.Waterfront
1/5/22,3426,Albany.Waterfront
1/6/22,2804,Albany.Waterfront
1/7/22,3666,Albany.Waterfront
1/8/22,3994,Albany.Waterfront
1/9/22,4312,Albany.Waterfront
1/10/22,3606,Albany.Waterfront
1/11/22,3366,Albany.Waterfront
