"","Name","mean_income","mean_age","mean_percent_white","mean_pop_density","mean_housing_density","restaurant_count","imp_surf","NatWalkInd","Ac_Total","Ac_Land","Ac_Water","Workers","CEC_mal_class_en.ID","CEC_mal_class_en.Class_EN","osm_landcov_fusion","osm_landcov_fusion_r","bio_1","bio_12","human_mod","total_road_length","road_density","area"
"57","Lim Home", 86906.35,36.80882,43.138617, 7336.37491,4044.09874, 76, 70,16.166667,   50.98142,   50.98142,   0.0000000, 602, 57,Urban and Built-up,18.654016,19,14.25,107.4,0.9602263,87689.486,0.027925188 [1/m^2],3140157 [m^2]
"58","Maness Home", 81936.52,36.20690,20.661966, 6001.97270,2136.45273, 25, 56,14.166667,   45.73475,   45.73475,   0.0000000, 561, 58,Urban and Built-up,26.692783,27,14.25,103.2,0.9241220,64138.973,0.020425401 [1/m^2],3140157 [m^2]
"59","Marcus Home", 80097.82,36.41667,10.994116, 3165.32243,1262.71207,  1, 57,18.166667,  254.43615,  254.43615,   0.0000000, 754, 59,Urban and Built-up,27.922117,28,14.45,128.8,0.8922956,42286.666,0.013466416 [1/m^2],3140157 [m^2]
"60","Marina Bay Park", 90797.33,38.67500,29.532570, 1024.58978, 464.97472, 10,  8,14.666667, 1878.53204,  490.08776,1388.4442747,1722, 60,Urban and Built-up, 9.940832,10,14.25,127.8,0.8835016,38774.434,0.012347927 [1/m^2],3140157 [m^2]
"61","Mason Home",118221.74,43.38696,42.417409, 4748.26204,2027.62770, 56, 66,17.000000,   59.08581,   59.08581,   0.0000000, 612, 61,Urban and Built-up,16.610765,17,14.25,106.3,0.9401900,59868.682,0.019065504 [1/m^2],3140157 [m^2]
"62","McKinley Park", 94692.57,38.06818,40.339487, 5153.33659,2244.10885, 95, 10,15.166667,   62.48245,   62.48245,   0.0000000, 877, 62,Urban and Built-up, 8.341983, 8,14.25,101.5,0.9327912,62719.082,0.019973229 [1/m^2],3140157 [m^2]
"63","McLaughlin Eastshore State Park",111552.00,37.68000,39.202663, 3601.50162,1502.55100, 30, 25,19.500000, 2268.67823,  819.59388,1449.0843444, 556, 63,Urban and Built-up, 7.000000, 7,14.35,118.5,0.7771728,44863.340,0.014286972 [1/m^2],3140157 [m^2]
"64","Merrill Home",196298.44,44.94444,62.895928, 2137.00737, 816.61540,  1, 78,15.500000,  102.34833,  102.34833,   0.0000000, 543, 64,Urban and Built-up,13.608189,14,14.15,113.3,0.8678396,36156.051,0.011514089 [1/m^2],3140157 [m^2]
"65","Metropolitan Golf Links", 75119.67,33.60000, 8.970236,  491.85760, 117.76054,  1, 78, 3.666667, 3284.54562, 2631.95031, 652.5953007,   0, 65,Urban and Built-up, 8.016009, 8,14.35, 97.6,0.8116607,22178.612,0.007062898 [1/m^2],3140157 [m^2]
"66","Middleton Home",125196.67,40.37083,59.925370, 5780.57046,2608.93806, 29, 28,17.000000,   71.22460,   71.22460,   0.0000000, 618, 66,Urban and Built-up,10.204949,10,14.15,122.7,0.9163658,56910.559,0.018123473 [1/m^2],3140157 [m^2]
"67","Miller Knox-Crest Trail",136250.00,56.30000,65.254237,  348.55536, 189.88040,  1,  7, 8.333333, 2078.94397, 1135.91302, 943.0309574, 931, 67,Urban and Built-up,25.232115,25,NA,130.3,NA,22499.528,0.007165096 [1/m^2],3140157 [m^2]
"68","Miller Knox-Pickleweed",136250.00,56.30000,65.254237,  348.55536, 189.88040,  1, 25, 8.333333, 2078.94397, 1135.91302, 943.0309574, 931, 68,Urban and Built-up, 7.000000, 7,NA,132.8,NA,14056.360,0.004476324 [1/m^2],3140157 [m^2]
"69","Mira Vista Park",106010.26,41.93500,33.115674, 3336.63688,1338.72129, 19,  9,13.833333,   50.81216,   50.81216,   0.0000000, 399, 69,Urban and Built-up,17.007614,17,14.35,129.6,0.9128890,66994.676,0.021334815 [1/m^2],3140157 [m^2]
"70","Mirmalek Home",193328.22,46.16667,62.269960, 1984.31415, 785.87535,  1, 68, 9.500000,  544.44531,  544.44531,   0.0000000,1161, 70,Urban and Built-up, 8.252000, 8,14.05,118.1,0.7973683,50888.489,0.016205713 [1/m^2],3140157 [m^2]
"71","Monarch Bay Golf Club",111406.60,42.40000,16.050553, 1661.10681, 605.78117, 22, 81,14.166667,  682.02664,  141.13166, 540.8949812, 432, 71,Urban and Built-up,14.166331,14,14.35, 99.0,0.7015464,24193.449,0.007704534 [1/m^2],3140157 [m^2]
