"","Date","daily_visits","Name"
"471",2023-04-16,2321,"Ahern Home"
"472",2023-04-17,2745,"Ahern Home"
"473",2023-04-18,3839,"Ahern Home"
"474",2023-04-19,3096,"Ahern Home"
"475",2023-04-20,3179,"Ahern Home"
"476",2023-04-21,3788,"Ahern Home"
"477",2023-04-22,3206,"Ahern Home"
"478",2023-04-23,3482,"Ahern Home"
"479",2023-04-24,2946,"Ahern Home"
"480",2023-04-25,3421,"Ahern Home"
"481",2023-04-26,3444,"Ahern Home"
"482",2023-04-27,2637,"Ahern Home"
"483",2023-04-28,3580,"Ahern Home"
"484",2023-04-29,2534,"Ahern Home"
"485",2023-04-30,2899,"Ahern Home"
"486",2023-05-01,2567,"Ahern Home"
"487",2023-05-02,3036,"Ahern Home"
"488",2023-05-03,3483,"Ahern Home"
"489",2023-05-04,2620,"Ahern Home"
"490",2023-05-05,3120,"Ahern Home"
"491",2023-05-06,2688,"Ahern Home"
"492",2023-05-07,2419,"Ahern Home"
"493",2023-05-08,3479,"Ahern Home"
"494",2023-05-09,3219,"Ahern Home"
"495",2023-05-10,3456,"Ahern Home"
"496",2023-05-11,3358,"Ahern Home"
"497",2023-05-12,3685,"Ahern Home"
"498",2023-05-13,3541,"Ahern Home"
"499",2023-05-14,2664,"Ahern Home"
"500",2023-05-15,3380,"Ahern Home"
"501",2023-05-16,3815,"Ahern Home"
"502",2023-05-17,3799,"Ahern Home"
"503",2023-05-18,2985,"Ahern Home"
"504",2023-05-19,5391,"Ahern Home"
"505",2023-05-20,3466,"Ahern Home"
"506",2023-05-21,3010,"Ahern Home"
"507",2023-05-22,3648,"Ahern Home"
"508",2023-05-23,4302,"Ahern Home"
"509",2023-05-24,4890,"Ahern Home"
"510",2023-05-25,3822,"Ahern Home"
"511",2023-05-26,3516,"Ahern Home"
"512",2023-05-27,3654,"Ahern Home"
"513",2023-05-28,3300,"Ahern Home"
"514",2023-05-29,3497,"Ahern Home"
"515",2023-05-30,2857,"Ahern Home"
"516",2023-05-31,3818,"Ahern Home"
"517",2023-06-01,3019,"Ahern Home"
"518",2023-06-02,3858,"Ahern Home"
"519",2023-06-03,4015,"Ahern Home"
"520",2023-06-04,3367,"Ahern Home"
"521",2023-06-05,3779,"Ahern Home"
"522",2023-06-06,3666,"Ahern Home"
"523",2023-06-07,3069,"Ahern Home"
"524",2023-06-08,3512,"Ahern Home"
"525",2023-06-09,3787,"Ahern Home"
"526",2023-06-10,3603,"Ahern Home"
"527",2023-06-11,3371,"Ahern Home"
"528",2023-06-12,3362,"Ahern Home"
"529",2023-06-13,3937,"Ahern Home"
"530",2023-06-14,3782,"Ahern Home"
"531",2023-06-15,3923,"Ahern Home"
"532",2023-06-16,3782,"Ahern Home"
"533",2023-06-17,2710,"Ahern Home"
"534",2023-06-18,3729,"Ahern Home"
"535",2023-06-19,3353,"Ahern Home"
"536",2023-06-20,3739,"Ahern Home"
"537",2023-06-21,3751,"Ahern Home"
"538",2023-06-22,4152,"Ahern Home"
"539",2023-06-23,4078,"Ahern Home"
"540",2023-06-24,3931,"Ahern Home"
"541",2023-06-25,4344,"Ahern Home"
"542",2023-06-26,3287,"Ahern Home"
"543",2023-06-27,4305,"Ahern Home"
"544",2023-06-28,4092,"Ahern Home"
"545",2023-06-29,3906,"Ahern Home"
"546",2023-06-30,3783,"Ahern Home"
"547",2023-07-01,2981,"Ahern Home"
"548",2023-07-02,3158,"Ahern Home"
"549",2023-07-03,4313,"Ahern Home"
"550",2023-07-04,4746,"Ahern Home"
"551",2023-07-05,4410,"Ahern Home"
"552",2023-07-06,3850,"Ahern Home"
"553",2023-07-07,4596,"Ahern Home"
"554",2023-07-08,3125,"Ahern Home"
"555",2023-07-09,4122,"Ahern Home"
"556",2023-07-10,4036,"Ahern Home"
"557",2023-07-11,4334,"Ahern Home"
"558",2023-07-12,3956,"Ahern Home"
"559",2023-07-13,3864,"Ahern Home"
"560",2023-07-14,4121,"Ahern Home"
"561",2023-07-15,4572,"Ahern Home"
"562",2023-07-16,4003,"Ahern Home"
"563",2023-07-17,4563,"Ahern Home"
"564",2023-07-18,4118,"Ahern Home"
"565",2023-07-19,4614,"Ahern Home"
"566",2023-07-20,4400,"Ahern Home"
"567",2023-07-21,5032,"Ahern Home"
"568",2023-07-22,4272,"Ahern Home"
"569",2023-07-23,3366,"Ahern Home"
"570",2023-07-24,3403,"Ahern Home"
"571",2023-07-25,3782,"Ahern Home"
"572",2023-07-26,3679,"Ahern Home"
"573",2023-07-27,3844,"Ahern Home"
"574",2023-07-28,4447,"Ahern Home"
"575",2023-07-29,4209,"Ahern Home"
"576",2023-07-30,3732,"Ahern Home"
"577",2023-07-31,4231,"Ahern Home"
"578",2023-08-01,3435,"Ahern Home"
"579",2023-08-02,5273,"Ahern Home"
"580",2023-08-03,4271,"Ahern Home"
"581",2023-08-04,4574,"Ahern Home"
"582",2023-08-05,4479,"Ahern Home"
"583",2023-08-06,4348,"Ahern Home"
"584",2023-08-07,4990,"Ahern Home"
"585",2023-08-08,4612,"Ahern Home"
"586",2023-08-09,6331,"Ahern Home"
"587",2023-08-10,3553,"Ahern Home"
"588",2023-08-11,4762,"Ahern Home"
"589",2023-08-12,3570,"Ahern Home"
"590",2023-08-13,3111,"Ahern Home"
"591",2023-08-14,5068,"Ahern Home"
"592",2023-08-15,5153,"Ahern Home"
"593",2023-08-16,4888,"Ahern Home"
"594",2023-08-17,4101,"Ahern Home"
"595",2023-08-18,5113,"Ahern Home"
"596",2023-08-19,3909,"Ahern Home"
"597",2023-08-20,3427,"Ahern Home"
"598",2023-08-21,3972,"Ahern Home"
"599",2023-08-22,4112,"Ahern Home"
"600",2023-08-23,4746,"Ahern Home"
"601",2023-08-24,4022,"Ahern Home"
"602",2023-08-25,5209,"Ahern Home"
"603",2023-08-26,3655,"Ahern Home"
"604",2023-08-27,3190,"Ahern Home"
"605",2023-08-28,4343,"Ahern Home"
"606",2023-08-29,4769,"Ahern Home"
"607",2023-08-30,4512,"Ahern Home"
"608",2023-08-31,3321,"Ahern Home"
"609",2023-09-01,4508,"Ahern Home"
"610",2023-09-02,3347,"Ahern Home"
"611",2023-09-03,2661,"Ahern Home"
"612",2023-09-04,2940,"Ahern Home"
"613",2023-09-05,3624,"Ahern Home"
"614",2023-09-06,4237,"Ahern Home"
"615",2023-09-07,3883,"Ahern Home"
"616",2023-09-08,4372,"Ahern Home"
"617",2023-09-09,3722,"Ahern Home"
"618",2023-09-10,3031,"Ahern Home"
"619",2023-09-11,3932,"Ahern Home"
"620",2023-09-12,3557,"Ahern Home"
"621",2023-09-13,3577,"Ahern Home"
"622",2023-09-14,3940,"Ahern Home"
"623",2023-09-15,4872,"Ahern Home"
"624",2023-09-16,3603,"Ahern Home"
"625",2023-09-17,2415,"Ahern Home"
"626",2023-09-18,4050,"Ahern Home"
"627",2023-09-19,3584,"Ahern Home"
"628",2023-09-20,3975,"Ahern Home"
"629",2023-09-21,3885,"Ahern Home"
"630",2023-09-22,5074,"Ahern Home"
"631",2023-09-23,3018,"Ahern Home"
"632",2023-09-24,2954,"Ahern Home"
